quoted_title,context,author,abstract,date
TÜRKİYE YENİ ÜNİVERSİTELERİNE KAVUŞURKENTÜRKİYE&#039_DE YENİ ÜNİVERSİTELER VE KURULUŞ GEREKÇELERİ,"Vatansever ve Yalçın, 2015;Gürbüz ve Akkaya, 2014;Arap, 2010). Birçok yazar, HİBÜP'ü kentleşme, bölgesel kalkın","ARAP, Kavili Sultan
                        ", ,2014-07-31
TÜRKİYE YENİ ÜNİVERSİTELERİNE KAVUŞURKENTÜRKİYE&#039_DE YENİ ÜNİVERSİTELER VE KURULUŞ GEREKÇELERİ,"nun önemini vurgular niteliktedir (Alt›nsoy, 2011;Arap, 2010;Çetinsaya, 2014;Ergüder, fiahin, Terzio¤lu ve Vard","ARAP, Kavili Sultan
                        ", ,2014-07-31
TÜRKİYE YENİ ÜNİVERSİTELERİNE KAVUŞURKENTÜRKİYE&#039_DE YENİ ÜNİVERSİTELER VE KURULUŞ GEREKÇELERİ," pergelini geniş satıhlara yaymayı amaçlamaktadır (Arap, 2010).","ARAP, Kavili Sultan
                        ", ,2014-07-31
Havayolu İşletmelerinin Finansal Performanslarının Ölçülmesi Pegasus Hava Taşımacılığı A.Ş. ve THY A.O. Örneği,"13;Ömürbek ve Kınay, 2013;Avcı ve Çınaroğlu, 2018;Macit ve Gedik Göçer, 2020) performansının incelenmiş olduğu birçok çalışma b","MACİT, Deniz
                        ","There are many business lines that fall under the scope of the aviation industry. Therefore, if the aviation sectoris considered as a whole, it is an undeniable fact that it creates a wide employment opportunity and has a positiveeffect on national income. The ability to evaluate the performance of companies in this sector is important for bothcompany managers and investors who invest and invest in the sector. The main purpose of the study is to comparethe financial performances of THY Corporation and Pegasus Pegasus Airlines Inc., which are listed on the BIST, withthe data obtained from 2008 financial statements. For investors, evaluation of financial performance is insufficientin terms of a single criterion in decision processes. This situation has raised the need for Multiple Criteria DecisionMaking (MCDM) methods. For this purpose, the Gray Relational Analysis (GIA) method, which is one of the MCDMmethods used frequently in financial performance analysis, was used in the study. According to the main findingsof the study; Pegasus Pegasus Airlines Inc. exhibits a higher financial performance than THY Corporation. Anotherfinding of the study is that THY has a better performance than Pegasus airline in terms of profitability",2020-02-14
Havayolu İşletmelerinin Finansal Performanslarının Ölçülmesi Pegasus Hava Taşımacılığı A.Ş. ve THY A.O. Örneği,";Wang, ve diğerleri, 2017;Avcı ve Çınaroğlu, 2018;Macit ve Gedik Göçer, 2020) performansının incelenmiş olduğu birçok çalışma o","MACİT, Deniz
                        ","There are many business lines that fall under the scope of the aviation industry. Therefore, if the aviation sectoris considered as a whole, it is an undeniable fact that it creates a wide employment opportunity and has a positiveeffect on national income. The ability to evaluate the performance of companies in this sector is important for bothcompany managers and investors who invest and invest in the sector. The main purpose of the study is to comparethe financial performances of THY Corporation and Pegasus Pegasus Airlines Inc., which are listed on the BIST, withthe data obtained from 2008 financial statements. For investors, evaluation of financial performance is insufficientin terms of a single criterion in decision processes. This situation has raised the need for Multiple Criteria DecisionMaking (MCDM) methods. For this purpose, the Gray Relational Analysis (GIA) method, which is one of the MCDMmethods used frequently in financial performance analysis, was used in the study. According to the main findingsof the study; Pegasus Pegasus Airlines Inc. exhibits a higher financial performance than THY Corporation. Anotherfinding of the study is that THY has a better performance than Pegasus airline in terms of profitability",2020-02-14
Ortaokul Öğrencilerinin Sportif Faaliyetlere Katılım Düzeyi ve İletişim Beceri Düzeyleri Arasındaki İlişki Kilis İli Örneği,"saldırganlık (Can vd, 2020;Özdemir & Abakay, 2017;Yıldırım & Abakay, 2015), benlik algısı (Erdoğdu vd., 2018), kaygı (Ateş v","İşler, Haydar
                        ","Bu araştırmanın temel amacı, ilköğretim ikinci kademedeki(Ortaokul) öğrencilerin sportif faaliyetlere katılım düzeyi ve iletişim beceri düzeyi arasında bir ilişkinin olup olmadığını analiz etmektir. Ayrıca demografik özellikler itibariyle spora katılım ve iletişim beceri düzeyi arasında anlamlı bir farklılık olup olmadığını belirlemek ise araştırmamızın bir diğer amacını oluşturmaktadır. Araştırmanın örneklemini 2013-2014 öğretim yılında Kilis merkez (Atatürk İlköğretim, Toki İlköğretim, Uluğcan İlköğretim) ve Elbeyli ilçesinde (Elbeyli İlköğretim, Karacaoğlan İlköğretim, Yenideğirmen İlköğretim) eğitim gören ilköğretim öğrencileri oluşturmaktadır. Yapılan alan çalışmasına 329 6. Sınıf öğrencisi, 215 7. Sınıf öğrencisi ve 141 8. Sınıf öğrencisi katılmıştır. Buna göre analizlere konu olan toplam öğrenci sayısı 685’dir.Araştırmada uygulanan anket sorularına verilen yanıtlar bilgisayar ortamına aktarılmış ve SPSS 16.0 (Statistical Package for the Social Sciences) paket programı ile değerlendirilmiştir. Elde edilen deneklere ait demografik özellikler sıklık (frekans) ve yüzde (%) olarak sunulmuştur. Analiz sonuçlarına göre ilköğretim ikinci kademedeki (ortaokul) öğrencilerin spor faaliyetlere katılımının daha üst seviyeye çıkarmadaki en büyük etkenin çevre ve aile faktörü olduğu tespit edilmiştir. Buna göre çocukların daha fazla sportif faaliyetlere katılabilmesi için ailelerin çocuklarını spor yapmaya teşvik etmesi ve çocukların spor yapılabilecek alanlara rahatlıkla ulaşabilmelerinin sağlanması önem arz etmektedir.",2017-04-26
Ortaokul Öğrencilerinin Sportif Faaliyetlere Katılım Düzeyi ve İletişim Beceri Düzeyleri Arasındaki İlişki Kilis İli Örneği,"(Ateş vd., 2018;Gökçe & Keçeçi, 2020), atılganlık (Şahan & Gönen, 2018), sosyalleşme (Erdoğdu vd., 2018;Koçyiğit, 2018b;U","İşler, Haydar
                        ","Bu araştırmanın temel amacı, ilköğretim ikinci kademedeki(Ortaokul) öğrencilerin sportif faaliyetlere katılım düzeyi ve iletişim beceri düzeyi arasında bir ilişkinin olup olmadığını analiz etmektir. Ayrıca demografik özellikler itibariyle spora katılım ve iletişim beceri düzeyi arasında anlamlı bir farklılık olup olmadığını belirlemek ise araştırmamızın bir diğer amacını oluşturmaktadır. Araştırmanın örneklemini 2013-2014 öğretim yılında Kilis merkez (Atatürk İlköğretim, Toki İlköğretim, Uluğcan İlköğretim) ve Elbeyli ilçesinde (Elbeyli İlköğretim, Karacaoğlan İlköğretim, Yenideğirmen İlköğretim) eğitim gören ilköğretim öğrencileri oluşturmaktadır. Yapılan alan çalışmasına 329 6. Sınıf öğrencisi, 215 7. Sınıf öğrencisi ve 141 8. Sınıf öğrencisi katılmıştır. Buna göre analizlere konu olan toplam öğrenci sayısı 685’dir.Araştırmada uygulanan anket sorularına verilen yanıtlar bilgisayar ortamına aktarılmış ve SPSS 16.0 (Statistical Package for the Social Sciences) paket programı ile değerlendirilmiştir. Elde edilen deneklere ait demografik özellikler sıklık (frekans) ve yüzde (%) olarak sunulmuştur. Analiz sonuçlarına göre ilköğretim ikinci kademedeki (ortaokul) öğrencilerin spor faaliyetlere katılımının daha üst seviyeye çıkarmadaki en büyük etkenin çevre ve aile faktörü olduğu tespit edilmiştir. Buna göre çocukların daha fazla sportif faaliyetlere katılabilmesi için ailelerin çocuklarını spor yapmaya teşvik etmesi ve çocukların spor yapılabilecek alanlara rahatlıkla ulaşabilmelerinin sağlanması önem arz etmektedir.",2017-04-26
Ortaokul Öğrencilerinin Sportif Faaliyetlere Katılım Düzeyi ve İletişim Beceri Düzeyleri Arasındaki İlişki Kilis İli Örneği,"an & Gönen, 2018), sosyalleşme (Erdoğdu vd., 2018;Koçyiğit, 2018b;Uyar & Erdoğdu, 2021) sosyal medya kullanımı (Demi","İşler, Haydar
                        ","Bu araştırmanın temel amacı, ilköğretim ikinci kademedeki(Ortaokul) öğrencilerin sportif faaliyetlere katılım düzeyi ve iletişim beceri düzeyi arasında bir ilişkinin olup olmadığını analiz etmektir. Ayrıca demografik özellikler itibariyle spora katılım ve iletişim beceri düzeyi arasında anlamlı bir farklılık olup olmadığını belirlemek ise araştırmamızın bir diğer amacını oluşturmaktadır. Araştırmanın örneklemini 2013-2014 öğretim yılında Kilis merkez (Atatürk İlköğretim, Toki İlköğretim, Uluğcan İlköğretim) ve Elbeyli ilçesinde (Elbeyli İlköğretim, Karacaoğlan İlköğretim, Yenideğirmen İlköğretim) eğitim gören ilköğretim öğrencileri oluşturmaktadır. Yapılan alan çalışmasına 329 6. Sınıf öğrencisi, 215 7. Sınıf öğrencisi ve 141 8. Sınıf öğrencisi katılmıştır. Buna göre analizlere konu olan toplam öğrenci sayısı 685’dir.Araştırmada uygulanan anket sorularına verilen yanıtlar bilgisayar ortamına aktarılmış ve SPSS 16.0 (Statistical Package for the Social Sciences) paket programı ile değerlendirilmiştir. Elde edilen deneklere ait demografik özellikler sıklık (frekans) ve yüzde (%) olarak sunulmuştur. Analiz sonuçlarına göre ilköğretim ikinci kademedeki (ortaokul) öğrencilerin spor faaliyetlere katılımının daha üst seviyeye çıkarmadaki en büyük etkenin çevre ve aile faktörü olduğu tespit edilmiştir. Buna göre çocukların daha fazla sportif faaliyetlere katılabilmesi için ailelerin çocuklarını spor yapmaya teşvik etmesi ve çocukların spor yapılabilecek alanlara rahatlıkla ulaşabilmelerinin sağlanması önem arz etmektedir.",2017-04-26
Ortaokul Öğrencilerinin Sportif Faaliyetlere Katılım Düzeyi ve İletişim Beceri Düzeyleri Arasındaki İlişki Kilis İli Örneği,"2018a), liderlik (Mutlu vd., 2018), öz yeterlilik (Akyüz, 2020;Koç vd., 2020), problem çözme (Evli & Barut, 2020;","İşler, Haydar
                        ","Bu araştırmanın temel amacı, ilköğretim ikinci kademedeki(Ortaokul) öğrencilerin sportif faaliyetlere katılım düzeyi ve iletişim beceri düzeyi arasında bir ilişkinin olup olmadığını analiz etmektir. Ayrıca demografik özellikler itibariyle spora katılım ve iletişim beceri düzeyi arasında anlamlı bir farklılık olup olmadığını belirlemek ise araştırmamızın bir diğer amacını oluşturmaktadır. Araştırmanın örneklemini 2013-2014 öğretim yılında Kilis merkez (Atatürk İlköğretim, Toki İlköğretim, Uluğcan İlköğretim) ve Elbeyli ilçesinde (Elbeyli İlköğretim, Karacaoğlan İlköğretim, Yenideğirmen İlköğretim) eğitim gören ilköğretim öğrencileri oluşturmaktadır. Yapılan alan çalışmasına 329 6. Sınıf öğrencisi, 215 7. Sınıf öğrencisi ve 141 8. Sınıf öğrencisi katılmıştır. Buna göre analizlere konu olan toplam öğrenci sayısı 685’dir.Araştırmada uygulanan anket sorularına verilen yanıtlar bilgisayar ortamına aktarılmış ve SPSS 16.0 (Statistical Package for the Social Sciences) paket programı ile değerlendirilmiştir. Elde edilen deneklere ait demografik özellikler sıklık (frekans) ve yüzde (%) olarak sunulmuştur. Analiz sonuçlarına göre ilköğretim ikinci kademedeki (ortaokul) öğrencilerin spor faaliyetlere katılımının daha üst seviyeye çıkarmadaki en büyük etkenin çevre ve aile faktörü olduğu tespit edilmiştir. Buna göre çocukların daha fazla sportif faaliyetlere katılabilmesi için ailelerin çocuklarını spor yapmaya teşvik etmesi ve çocukların spor yapılabilecek alanlara rahatlıkla ulaşabilmelerinin sağlanması önem arz etmektedir.",2017-04-26
Ortaokul Öğrencilerinin Sportif Faaliyetlere Katılım Düzeyi ve İletişim Beceri Düzeyleri Arasındaki İlişki Kilis İli Örneği," 2020), özdeşleşme (Can vd., 2020), duygusal zekâ (Koçyiğit, 2018b;Yetiş & Servi, 2020), motivasyon (Boz vd., 2021) v","İşler, Haydar
                        ","Bu araştırmanın temel amacı, ilköğretim ikinci kademedeki(Ortaokul) öğrencilerin sportif faaliyetlere katılım düzeyi ve iletişim beceri düzeyi arasında bir ilişkinin olup olmadığını analiz etmektir. Ayrıca demografik özellikler itibariyle spora katılım ve iletişim beceri düzeyi arasında anlamlı bir farklılık olup olmadığını belirlemek ise araştırmamızın bir diğer amacını oluşturmaktadır. Araştırmanın örneklemini 2013-2014 öğretim yılında Kilis merkez (Atatürk İlköğretim, Toki İlköğretim, Uluğcan İlköğretim) ve Elbeyli ilçesinde (Elbeyli İlköğretim, Karacaoğlan İlköğretim, Yenideğirmen İlköğretim) eğitim gören ilköğretim öğrencileri oluşturmaktadır. Yapılan alan çalışmasına 329 6. Sınıf öğrencisi, 215 7. Sınıf öğrencisi ve 141 8. Sınıf öğrencisi katılmıştır. Buna göre analizlere konu olan toplam öğrenci sayısı 685’dir.Araştırmada uygulanan anket sorularına verilen yanıtlar bilgisayar ortamına aktarılmış ve SPSS 16.0 (Statistical Package for the Social Sciences) paket programı ile değerlendirilmiştir. Elde edilen deneklere ait demografik özellikler sıklık (frekans) ve yüzde (%) olarak sunulmuştur. Analiz sonuçlarına göre ilköğretim ikinci kademedeki (ortaokul) öğrencilerin spor faaliyetlere katılımının daha üst seviyeye çıkarmadaki en büyük etkenin çevre ve aile faktörü olduğu tespit edilmiştir. Buna göre çocukların daha fazla sportif faaliyetlere katılabilmesi için ailelerin çocuklarını spor yapmaya teşvik etmesi ve çocukların spor yapılabilecek alanlara rahatlıkla ulaşabilmelerinin sağlanması önem arz etmektedir.",2017-04-26
Kelsen&#039_in Hukuk ve Devlet Teorisi,"Aral, V. (1978). Kelsen'in Saf Hukuk Teorisinin Metodu ve Değeri,","AKBAY, Muvaffak
                        ", ,1947-05-01
Kelsen&#039_in Hukuk ve Devlet Teorisi,letin müstakil bir varlığı söz konusu olmamıştır. 1144 Devletin ayrı bir hukuki kişilik ihtiva etmediği ,"AKBAY, Muvaffak
                        ", ,1947-05-01
Kelsen&#039_in Hukuk ve Devlet Teorisi,da kast edilen irade de hali ile bir fiksiyondur. 1445 Fiksiyon temelde somut olarak var olmayan bir şey,"AKBAY, Muvaffak
                        ", ,1947-05-01
Kelsen&#039_in Hukuk ve Devlet Teorisi,dinden kaynaklandığı bir çatıya tekabül etmektesi 1571 şeklinde görürüz. Bu noktada belirtilmesi gereken,"AKBAY, Muvaffak
                        ", ,1947-05-01
Kelsen&#039_in Hukuk ve Devlet Teorisi,"kişiler aracılığı ile mümkün bir varlığı haizdir. 1727 Zabunoğlu, devlet faaliyetlerinin yürütüldüğü müs","AKBAY, Muvaffak
                        ", ,1947-05-01
Kelsen&#039_in Hukuk ve Devlet Teorisi,tüzel kişi olması bakımından da kendini gösterir. 1859 Böylelikle Bodin'de egemenliğin zaruri niteliği o,"AKBAY, Muvaffak
                        ", ,1947-05-01
Türkiye ve Kafkasya Reaksiyoner Dış Politikadan Proaktif Ritmik Diplomasiye Geçiş,"şündüğü Rusya ile nüfuz mücadelesine girişecektir (Denizhan, 2010).","ÇELİKPALA, Mitat
                        ","Ağustos 2008 Rus-Gürcü savaşının yarattığı sonuçlar sadece Kafkasları değil, neredeyse tüm küresel dengeleri derinden etkilemiştir. Savaşın başlattığı olaylar zincirinin, son dönemde bölgesel bir güç olarak içinde yer aldığı coğrafyalarda aktif bir dış politika izleme iddiasındaki Türkiye’ye etkisi doğrudandır. Gelişmelere gösterilen tepkiler ve şekillendirilmeye çalışılan “yeni” bakış açısı, çevresinde istikrarı sağlamaya ve sorunlara çözüm üretmeye çalışan bölgesel bir aktör olarak konumlanan Türkiye’nin politikalarının tartışılmasına neden olmuştur. Kafkaslar, “komşularla sıfır sorun”, “sorun değil çözüm üreten ülke” ve “ritmik diplomasi” gibi bir takım yeni söylemlerle, yeni ve etkin bir dış politika çizgisi oluşturmaya çalışan Türkiye’nin, dış politika süreçleri ve etkinliğinin izlenebileceği ilgi çekici örneklerden biri haline gelmiştir. Kafkasya’da yaşanan gelişmelere yönelik olarak Türkiye’nin izlediği politikalar, genel olarak Türk dış politikasının seyrini, hedefl erini ve dış politika yapım süreçlerini anlamada yardımcı olacaktır. Bu çalışma, Türkiye’nin Ağustos 2008 sonrası dönemde Kafkaslarda izlediği dış politikanın kapsamlı bir değerlendirmesini yapmaktadır.",2010-03-01
Türkiye ve Kafkasya Reaksiyoner Dış Politikadan Proaktif Ritmik Diplomasiye Geçiş,"t was quickly adopted by policy makers in Turkey. 28 For Turkey's political leaders, the engagement wi","ÇELİKPALA, Mitat
                        ","Ağustos 2008 Rus-Gürcü savaşının yarattığı sonuçlar sadece Kafkasları değil, neredeyse tüm küresel dengeleri derinden etkilemiştir. Savaşın başlattığı olaylar zincirinin, son dönemde bölgesel bir güç olarak içinde yer aldığı coğrafyalarda aktif bir dış politika izleme iddiasındaki Türkiye’ye etkisi doğrudandır. Gelişmelere gösterilen tepkiler ve şekillendirilmeye çalışılan “yeni” bakış açısı, çevresinde istikrarı sağlamaya ve sorunlara çözüm üretmeye çalışan bölgesel bir aktör olarak konumlanan Türkiye’nin politikalarının tartışılmasına neden olmuştur. Kafkaslar, “komşularla sıfır sorun”, “sorun değil çözüm üreten ülke” ve “ritmik diplomasi” gibi bir takım yeni söylemlerle, yeni ve etkin bir dış politika çizgisi oluşturmaya çalışan Türkiye’nin, dış politika süreçleri ve etkinliğinin izlenebileceği ilgi çekici örneklerden biri haline gelmiştir. Kafkasya’da yaşanan gelişmelere yönelik olarak Türkiye’nin izlediği politikalar, genel olarak Türk dış politikasının seyrini, hedefl erini ve dış politika yapım süreçlerini anlamada yardımcı olacaktır. Bu çalışma, Türkiye’nin Ağustos 2008 sonrası dönemde Kafkaslarda izlediği dış politikanın kapsamlı bir değerlendirmesini yapmaktadır.",2010-03-01
Fas Arap Baharının İstisnası mı,"iştir: Yeni anayasa ve erken parlamento seçimleri (Temelat, 2013). Kral Muhammed yeni anayasa için dört ay gibi müd","TEMELAT, Neslihan
                        ","This article examines the Arab Spring as a process of political change inMorocco, where the royalty has remained in power so far. While in some Arabcountries mass protests of 2011 led to the demise of authoritarian regimes,King Mohammed VI has withstood the test of Arab Spring as the social unrestin Tunisia penetrated Morocco in early 2011. The protest movement calledFebruary 20, largely consisting of students, called for parliamentary monarchy and demanded a new constitution, more democracy and improvement ofsocio-economic conditions. Shortly after the eruption of protests, KingMohammed announced the drafting of a new constitution which was submitted to referendum in July 2011 and adopted by almost 99 percent of the vote.The new constitution enhanced separation of powers and fundamental rightsand freedoms, though remaining far from establishing a genuine parliamentary monarchy. This paper provides an overview of the political and socioeconomic background of Morocco, the protest movement and relateddemands, constitutional reforms, international public opinion on the reformsand November 2011 elections. The paper concludes with a summary andsome preliminary remarks for future direction of the Arab Spring in the country",
Fas Arap Baharının İstisnası mı,"iştir: Yeni anayasa ve erken parlamento seçimleri (Temelat, 2013). Kral Muhammed yeni anayasa için dört ay gibi müd","TEMELAT, Neslihan
                        ","This article examines the Arab Spring as a process of political change inMorocco, where the royalty has remained in power so far. While in some Arabcountries mass protests of 2011 led to the demise of authoritarian regimes,King Mohammed VI has withstood the test of Arab Spring as the social unrestin Tunisia penetrated Morocco in early 2011. The protest movement calledFebruary 20, largely consisting of students, called for parliamentary monarchy and demanded a new constitution, more democracy and improvement ofsocio-economic conditions. Shortly after the eruption of protests, KingMohammed announced the drafting of a new constitution which was submitted to referendum in July 2011 and adopted by almost 99 percent of the vote.The new constitution enhanced separation of powers and fundamental rightsand freedoms, though remaining far from establishing a genuine parliamentary monarchy. This paper provides an overview of the political and socioeconomic background of Morocco, the protest movement and relateddemands, constitutional reforms, international public opinion on the reformsand November 2011 elections. The paper concludes with a summary andsome preliminary remarks for future direction of the Arab Spring in the country",
Fas Arap Baharının İstisnası mı,"syal hayatta eşit olacağının teminatı verilmiştir (Temelat, 2013). İlâve olarak, 2011 yılının sonunda yapılan seçim","TEMELAT, Neslihan
                        ","This article examines the Arab Spring as a process of political change inMorocco, where the royalty has remained in power so far. While in some Arabcountries mass protests of 2011 led to the demise of authoritarian regimes,King Mohammed VI has withstood the test of Arab Spring as the social unrestin Tunisia penetrated Morocco in early 2011. The protest movement calledFebruary 20, largely consisting of students, called for parliamentary monarchy and demanded a new constitution, more democracy and improvement ofsocio-economic conditions. Shortly after the eruption of protests, KingMohammed announced the drafting of a new constitution which was submitted to referendum in July 2011 and adopted by almost 99 percent of the vote.The new constitution enhanced separation of powers and fundamental rightsand freedoms, though remaining far from establishing a genuine parliamentary monarchy. This paper provides an overview of the political and socioeconomic background of Morocco, the protest movement and relateddemands, constitutional reforms, international public opinion on the reformsand November 2011 elections. The paper concludes with a summary andsome preliminary remarks for future direction of the Arab Spring in the country",
